id,name,name_en,type,description,requirements,time_to_create,cost,duration,items
23,Управление элементалом (Воздуха),Control (Air) Elemental,Special Защита по ST или IQ (что больше),-,Summon Elemental,-,-,-,"Псох, палочка или украшение украшенное изображениями соответствующей стихии – для каждой стихи – свой предмет. Не позволяет сотворять это заклинание но дает +2 при сотворении им данного заклинания. не кумулятивно. 1000 энергии $1300 золотом или платиной."
24,Создание элементала (Воздуха),Create (Air) Elemental,Special,-,"Magery 2, Control Elemental",-,-,-,-
25,Найти воду,Seek Water,Информационное,"Это заклинание является базовым для школы Воды. Позволяет заклинателю определить направление, расстояние до и общий тип ближайшего существенного источника воды. Используйте модификаторы за дальние дистанции (стр. 151). Любые известные заклинателю источники воды могут быть исключены из сферы поиска заклинателем перед сотворением заклинания. Для сотворения необходима раздвоенная палка, а без нее -3 к уровню умения.",-,-,2,-,"Раздвоенная палка рогатина (может быть также вырезана из кости). 40 энергии, $300 материалов"
26,Очистка воды,Purify Water,Special,Позволяет заклинателю убрать все загрязнения из воды проливая ее через обруч или кольцо (или через сомкнутые в кольцо пальцы заклинателя). Только один бросок проверки умения необходим пока поток льется.,Найти воду,"Обычно 5-10 секунд на галлон, или найдите большее кольцо и большую емкость",1 за галлон (~4 литра),Очищенная вода остается таковой пока вновь не будет загажена,Обруч из кости или слонового бивня. 50 энергии
27,Формование воды,Shape Water,Обычное,"Позволяет заклинателю придавать воде (или льду или пару) любую форму, и даже перемещать. Заданную форму вода будет держать в течении действия заклинания не требую от заклинателя концентрироваться снова. Вода перемещаемая с помощью данного заклинания движется со скоростью 3 клетки в ход.  Часто используемая форма - стена воды, чтобы останавливать огненные атаки. 20 галлонов (~75 л.) создадут стену высотой 6 футов (1.8 м.) пересекающую 1 клетку. Такая стена остановит `огненные шары` (Fireball) и обычное пламя; причиняет 2d повреждений проходящему сквозь нее. 20 галлонов воды это около 2.5 кубофутов объемом и 160 фунтов (~70 кг.) весом.",Найти воду,2 секунды,1 за 20 галлонов. 1 на поддержание (всей форм),1 минута,"Посох, палочка или украшение. 400 энергии"
28,Уничтожить воду,Destroy Water,Областное,"Вода (в любой форме) исчезает под действием данного заклинания, оставляя на вместо себя лишь вакуум и/или все нечистоты которые содержала. Удобно при сушке вещей и спасение утопающих. Если вокруг еще осталась вода, она конечно же немедленно хлынет заполнять пустоту. Не может быть использована для обезвоживания тела противника.",Create Water,-,"3 если вода глубока, 2 если глубина клетки не больше ярда",Навсегда,Посох палочка или украшение. 300 энергии
29,Создать воду,Create Water,Обычное,"Позволяет заклинателю создавать воду из ничего. Может появится лишь в следующих формах: Может появится внутри емкости или шара жидкости в воздухе (который немедленно начнет падать). Или может появиться в виде густого тумана капель, в этой форме один галлон воды будет тушить клетку огня. Водя не может быть создана внутри противника и т.д.",Очистка воды,-,2 за галлон,Созданная вода останется навсегда,"Посох, палочка или украшение. 200 энергии"
30,Туман,Fog,Областное,Создает область плотного тумана. Даже через одну клетку заполненную туманом нельзя ничего рассмотреть. Пламенное (Flame Weapon) оружие и снаряды (Flame Метательное) теряю свою дополнительную силу в этом тумане. Прохождение через каждую клетку тумана наносит 1 очко повреждений огненным элементалам и вычитает по 1 очку наносимых при попадании повреждений с огненных шаров (Fire Ball). Однако туман не тушит огонь.,Формование воды,половина на поддержание,2,-,1 минута
33,Ледяная сфера,Ice Sphere,Метательное,"Позволяет заклинателю швырнуть ледяной шар из руки. При попадании - наносит дробящие (crushing) повреждения и разлетается в капли водяных брызг. Шарик мощностью в 1 энергию способен также, при точном попадании, затушить 1 клетку огня.  По огненным созданиям наносит удвоенные повреждения.  SS 13, Acc +2, 1/2D 40, Max 80","Shape Wate, 4 заклинания школы стихии Воды",от 1 до 3 секунд соответственно,от 1 до 3. 1d повреждений за каждую вложенную единицу энергии,-,Посох или палочка - шар вылетает с конца. 400 энергии. На конец должен быть установлен сапфир стоимостью от $500. Используемо только магами
34,Хождение по воде,Walk on Water,Обычное,Позволяет объекту ходить по воде как будто это земля. Если вода течет мастер может установить DX штрафы на любые действия находящегося на поверхности. Если на воде волны или она быстро течет - бросок по DX (возможно с большими штрафами) необходим каждый ход чтобы остаться на ногах. Критический провал броска для заклинателя прервет действие заклинателя.,Формование воды,4 секунды,"3 на сотворение, 2 на поддержание",-,"Посох, палочка, украшение или одежда. Работает только на носителя. 500 энергии"
35,Вызов элементала (Воды),Summon (Water) Elemental,Special,"Воздушные и водные элементалы способны перемещаться на несколько миль в рамках своей стихии, чтобы придти на зов заклинателя.  Заклинатель может задавать вопросы, простить о услуге и т.д. Сразу же делается бросок реакции эленментала на заклинателя.  При хорошей реакции элементал будет сотрудничать в течении часа а потом исчезнет. (При вызове элементала неплохо бы помнить о том, что они могут пойти на сделку, конечно если ты достаточно мудр, чтобы знать что заинтересует элементала)  Если заклинание используется (еще раз) кидается 1d, на 1-3 приходит новый элементал, на 4 и 5 приходит тот же что и в прошлый раз, на 6 никто не приходит. Если тот же элементал вызван в течении недели, его реакция с –4.","Magery, минимум 8 заклинаний соответствующей школы, или 4 заклинания соответствующей школы и заклинание вызова элементала другой стихи.",-,"3 на сотворение, 2 на поддержание",1 минута,-
37,Управление элементалом (Воды),Control (Water) Elemental,Special Защита по ST или IQ (что больше),-,Summon Elemental,-,-,-,"Псох, палочка или украшение украшенное изображениями соответствующей стихии – для каждой стихи – свой предмет. Не позволяет сотворять это заклинание но дает +2 при сотворении им данного заклинания не кумулятивно. 1000 энергии $1300 золотом или платиной."
38,Создание элементала (Воды),Create (Water) Elemental,Special,-,"Magery 2, Control Elemental",-,-,-,-
39,Воспламенение,Ignite Fire,Обычное,"Это базовое заклинание школы Огня. Он создает на объекте разогретую точку и используется для поджигания легко воспламеняемых объектах. Лучше всего работает с бумагой или одежной, и не будет действовать на предметы которые не загорятся под действием обычного огня. В частности это заклинание не подожжет живое существо! Нормально разожженный огонь горит и после окончания действия заклинания.  Стоимость зависит от температуры, стоимость на поддержания та же что и на сотворение. 1 - за эффект равный поднесению к объекту спички: подожжет свечу, курительную трубку или гнилушку за 1 секунду. 2 - за эффект равный поднесению к объекту факела: подожжет бумагу или тонкую одежду за секунду, обычная одежда загорится через 4 секунды. 3 - за эффект равный поднесению к объекту паяльной лампы: подожжет сухую растопочную древесину за секунду, кожу за пару секунд, крупное дерево за шесть секунд. 4 - за эффект равный поджогу на объекте магния или фосфора: подожжет уголь за секунду, крупное дерево за две.",-,-,1-4,1 секунда,"Посох палочка или украшение. 100 энергии, должна быть украшена небольшим рубином стоимостью от $50"
40,Формование огня,Shape Fire,Областное,"Позволяет заклинателю контролировать форму любого пламени. Естественное пламя не сможет перемещаться туда где нет топлива, однако пламя созданное с помощью заклинания «создания огня» (Create Fire) не требует топлива и может переноситься с места на место. Пламя сохраняет свою интенсивность. Каждое изменение формы требует секундной концентрации со стороны заклинателя, а перемещение пламени требует постоянной концентрации в течении всего движения, однако формованной однажды пламя будет сохранять форму до окончания действия заклинания не требуя концентрации. Максимальная скорость перемещения - 5 ярдов в ход, перемещение происходит в момент хода заклинателя. Если пламя из одной клетки сформировано стелящимся через две клетки - оно будет наносить лишь половину повреждений в каждой из этих клеток, растянутое на 3 клетки - лишь треть, и т.д.",Воспламенение,-,"2, половина стоимости на поддержание",1 минута,"Посох, палочка или украшение. 400 энергии, должна быть украшена рубином стоимостью от $300"
41,Погасить огонь,Extinguish Fire,Обычное,"Гасит горящую клетку или, при необходимости, небольшую горящую площадь. Большие площади покрываются за счет стоимости. Гасит обычный и магический огонь, но не расплавленную сталь, лаву и т.п.",Воспламенение,-,3 за клетку,Пламя гаснет как только заклинание сотворено,-
42,Создать огонь,Create Fire,Областное,"Тоже и самое что `воспламенение` (Ignite Fire), только позволяет создать огонь без топлива. Создает клетку или больше занятую огнем (или падающую сферу огня). Это настоящий огонь, который в конечном итоге поджигает любой легко воспламеняемый объект. Не может быть сотворен внутри камня врага и т.п.",Воспламенение,-,"2 на сотворение, половина на поддержание. Поддержания не требуется если есть топливо и оно загорелось",1 минута,"Посох, палочка или украшение. 100 энергии, должна быть украшена рубином стоимостью от $200"
43,Нагревание,Heat,Обычное,"Это заклинание увеличивает температуру объекта вплоть до температуры достигаемой промышленной ковкой. Это заклинание само по себе не создает горения, однако многие материалы будут загораться при достаточном нагреве. Очень полезно при приготовлении пищи. (Мастера, используйте это для игровых эффектов - не опошляйте заклинание боевым применением).  Любой заклинатель собирающийся всесторонне использовать данное заклинание должен вооружиться списком точек плавления различных веществ. Примите к сведению, что это заклинание таит массу опасностей для заклинателя: заключенный, находясь в тюрьме может расплавить прутья решетки, однако излучаемый от них жар скорее всего спалит его заживо.","Create Fire, Shape Fire","1 минута. Каждая минута поднимает температуру объекта на 20 градусов. Время может быть сокращено а двое, при удвоении стоимости, и так далее, но нельзя тратить меньще энергии в минуту при более медленном нагреве","1 за объект размером с кулак, 2 за объект объемом до кубофута, 3 за объект размером с клетку, и еще по 3 за каждую дополнительную клетку. Поддержание стоит столько же сколько сотворение",1 минута,"Посох, палочка или украшение. 400 энергии, должна быть украшена рубином стоимостью от $300"
44,Охлаждение,Cold,Обычное,Противоположность предыдущему заклинанию. Уменьшает температуру любого объекта вплоть до абсолютного нуля (если поддерживать заклинание достаточно долго).,Нагревание,1 минута.  Те же то и для `нагревания` (Heat). Каждая минута понижает температуру на 20 градусов,"1 за объект размером с кулак, 2 за объект объемом до кубофута, 3 за объект размером с клетку, и еще по 3 за каждую дополнительную клетку. Поддержание стоит столько же сколько сотворение",1 минута,-
